,mean,std
mask2_T1C_firstorder_Skewness,0.32790473,0.046412219
mask2_T2_glrlm_GrayLevelNonUniformity,0.305605646,0.044921099
mask2_T1C_ngtdm_Busyness,0.298729434,0.04431419
mask2_T2_shape_VoxelVolume,0.291398173,0.044315707
mask2_T1C_firstorder_RootMeanSquared,0.289244597,0.044083027
mask2_T2_shape_SurfaceArea,0.288548119,0.045052952
mask1_T2_shape_Sphericity,0.287284892,0.043199711
mask2_T1C_glcm_ClusterShade,0.285744473,0.043819013
mask2_T1C_ngtdm_Coarseness,0.283350165,0.043693713
mask2_T2_shape_MeshVolume,0.282466273,0.044928166
mask2_T2_glszm_LargeAreaLowGrayLevelEmphasis,0.281775954,0.045619803
mask2_T2_firstorder_10Percentile,0.281576844,0.043925822
mask2_T2_shape_Maximum2DDiameterSlice,0.28065854,0.044424785
mask1_T2_firstorder_Uniformity,0.27766705,0.047435085
mask2_T1C_glrlm_ShortRunHighGrayLevelEmphasis,0.277291296,0.043652907
mask2_T2_glrlm_GrayLevelVariance,0.276711927,0.045087349
mask2_T1C_glcm_JointAverage,0.27586499,0.044078326
mask2_T1C_firstorder_Mean,0.275476833,0.044694266
mask2_T2_ngtdm_Contrast,0.275178521,0.042881274
mask2_T2_glcm_Idm,0.274959767,0.045542047
mask2_T1C_firstorder_Uniformity,0.274642526,0.044583146
mask2_T2_shape_Sphericity,0.274151654,0.043547413
mask2_T1C_glszm_GrayLevelNonUniformity,0.273882795,0.042332365
mask1_T2_glrlm_ShortRunHighGrayLevelEmphasis,0.272581918,0.043261637
mask1_T2_glcm_DifferenceEntropy,0.271952601,0.04268138
mask2_T1C_ngtdm_Strength,0.271663182,0.04179609
mask2_T1C_glrlm_RunLengthNonUniformity,0.271254126,0.044878043
mask2_T1C_glrlm_HighGrayLevelRunEmphasis,0.270612905,0.043404239
mask2_T2_ngtdm_Coarseness,0.270263656,0.047501573
mask1_T2_firstorder_Skewness,0.267386242,0.044422653
mask1_T2_glcm_JointAverage,0.266351507,0.043117032
mask1_T2_glcm_SumAverage,0.266351507,0.043117032
mask2_T1C_glszm_SizeZoneNonUniformity,0.266280565,0.043651979
mask1_T2_glrlm_RunLengthNonUniformityNormalized,0.265581631,0.04575093
mask1_T1C_firstorder_Uniformity,0.265069732,0.04248232
mask1_T2_firstorder_Minimum,0.265015061,0.042477763
mask2_T2_glcm_Idmn,0.264803083,0.042293343
mask2_T2_firstorder_Energy,0.264776378,0.042394187
mask1_T2_glcm_Autocorrelation,0.264621136,0.042661964
mask1_T2_firstorder_Maximum,0.264321823,0.043436512
mask2_T1C_firstorder_Median,0.264274787,0.043429609
mask2_T2_firstorder_MeanAbsoluteDeviation,0.26404929,0.045429415
mask2_T2_firstorder_Maximum,0.263761,0.042937709
mask2_T1C_glrlm_ShortRunLowGrayLevelEmphasis,0.26298176,0.042872748
mask2_T1C_firstorder_90Percentile,0.26279889,0.042888854
mask2_T1C_glrlm_GrayLevelVariance,0.262142602,0.043799917
mask2_T2_firstorder_RobustMeanAbsoluteDeviation,0.261751214,0.043026807
mask2_T2_glcm_InverseVariance,0.261622354,0.045587892
mask1_T2_glcm_Idmn,0.261377336,0.042710948
mask2_T2_shape_MinorAxisLength,0.26063092,0.04329012
mask1_T2_glcm_Id,0.259546865,0.043119129
mask1_T1C_glszm_LowGrayLevelZoneEmphasis,0.259508675,0.042949583
mask2_T1C_glcm_Imc2,0.259107244,0.046281013
mask2_T2_firstorder_Range,0.258665371,0.042443298
mask1_T2_glrlm_LowGrayLevelRunEmphasis,0.257954301,0.045762121
mask1_T2_glrlm_ShortRunEmphasis,0.257654494,0.044641403
mask2_T1C_glrlm_LongRunHighGrayLevelEmphasis,0.257624206,0.044205938
mask2_T2_shape_Maximum3DDiameter,0.25752496,0.046626429
mask1_T1C_glrlm_RunLengthNonUniformityNormalized,0.257027113,0.045295741
mask2_T1C_glszm_GrayLevelVariance,0.256984086,0.042411862
mask1_T1C_firstorder_Range,0.256959311,0.043946006
mask2_T2_glrlm_RunLengthNonUniformityNormalized,0.256805262,0.044205369
mask2_T1C_firstorder_Kurtosis,0.256070123,0.045177803
mask1_T1C_glrlm_ShortRunEmphasis,0.255398982,0.046318093
mask2_T2_glcm_Contrast,0.255311213,0.043491003
mask2_T1C_glcm_Autocorrelation,0.255241388,0.045385893
mask2_T2_firstorder_Minimum,0.255041247,0.044269486
mask2_T2_glcm_Id,0.254815709,0.043676165
mask1_T1C_glcm_DifferenceAverage,0.252735657,0.043472157
mask2_T2_firstorder_Median,0.252710472,0.043764152
mask2_T2_shape_MajorAxisLength,0.25267527,0.044488839
mask1_T2_glcm_JointEntropy,0.25180884,0.046232147
mask2_T1C_firstorder_RobustMeanAbsoluteDeviation,0.251689894,0.044537301
mask1_T2_glrlm_GrayLevelNonUniformityNormalized,0.251390282,0.044609652
mask2_T2_glrlm_RunLengthNonUniformity,0.251123547,0.044845406
mask2_T2_glcm_SumEntropy,0.250816859,0.048107974
mask1_T2_glcm_SumEntropy,0.250495808,0.045439419
mask1_T2_glszm_SmallAreaLowGrayLevelEmphasis,0.250355826,0.043096126
mask2_T2_glcm_ClusterShade,0.249986175,0.044313362
mask2_T2_glcm_SumSquares,0.249736504,0.045922656
mask1_T1C_glcm_MaximumProbability,0.249568012,0.042552391
mask2_T2_glcm_DifferenceEntropy,0.249282933,0.044202378
mask1_T2_glrlm_HighGrayLevelRunEmphasis,0.24903405,0.044720538
mask2_T2_firstorder_InterquartileRange,0.248982572,0.045340883
mask1_T2_glrlm_RunPercentage,0.248697978,0.042413969
mask1_T1C_firstorder_Kurtosis,0.248632979,0.044451197
mask2_T2_glszm_ZoneVariance,0.24862366,0.045666506
mask2_T2_shape_Maximum2DDiameterRow,0.247908534,0.046288858
mask2_T1C_glcm_MCC,0.247586288,0.044110544
mask1_T2_glcm_MCC,0.247531528,0.046824488
mask2_T1C_glszm_GrayLevelNonUniformityNormalized,0.247301263,0.043893004
mask1_T2_glcm_Contrast,0.247280335,0.043377424
mask1_T1C_glszm_GrayLevelVariance,0.24663413,0.043323214
mask2_T1C_glrlm_RunEntropy,0.246418748,0.041790006
mask1_T1C_firstorder_90Percentile,0.246065825,0.044501831
mask1_T2_glrlm_LongRunLowGrayLevelEmphasis,0.245887278,0.043088182
mask2_T2_glcm_Idn,0.245830144,0.043657826
mask1_T2_firstorder_Median,0.245659274,0.045147905
mask2_T2_glrlm_RunPercentage,0.245655073,0.044578718
mask2_T1C_firstorder_Minimum,0.245518662,0.042703348
mask2_T2_firstorder_Entropy,0.245517336,0.043714935
mask1_T2_glcm_Correlation,0.244884822,0.043143117
mask2_T2_shape_LeastAxisLength,0.244690819,0.043504702
mask1_T2_firstorder_Kurtosis,0.244579537,0.043844786
mask2_T2_firstorder_Uniformity,0.243722207,0.045621131
mask2_T1C_firstorder_Entropy,0.243596616,0.046106327
mask1_T1C_glcm_MCC,0.243587536,0.044946857
mask2_T2_glcm_DifferenceAverage,0.24356658,0.043500038
mask1_T2_glszm_HighGrayLevelZoneEmphasis,0.243439123,0.04427849
mask1_T1C_glcm_DifferenceEntropy,0.24342141,0.043464228
mask2_T2_glcm_Autocorrelation,0.243417536,0.04511625
mask1_T1C_glcm_Idmn,0.243282664,0.041542026
mask1_T1C_glcm_Correlation,0.243026643,0.043344843
mask2_T2_firstorder_90Percentile,0.242709583,0.043887612
mask2_T1C_firstorder_MeanAbsoluteDeviation,0.242479216,0.044360358
mask1_T1C_firstorder_Entropy,0.242459484,0.044267637
mask1_T1C_firstorder_MeanAbsoluteDeviation,0.242390041,0.041807445
mask2_T2_ngtdm_Complexity,0.241346506,0.042420176
mask2_T2_firstorder_Variance,0.241004069,0.044351583
mask1_T2_glcm_Idm,0.240723832,0.044176921
mask1_T1C_glcm_SumEntropy,0.239930872,0.044054157
mask2_T2_glcm_JointEntropy,0.239133825,0.04528349
mask1_T1C_glszm_ZonePercentage,0.239006398,0.046450339
mask1_T1C_glcm_Contrast,0.238798369,0.042850317
mask2_T1C_firstorder_InterquartileRange,0.238726977,0.043955939
mask2_T2_glrlm_GrayLevelNonUniformityNormalized,0.23830784,0.043367685
mask1_T2_shape_SurfaceVolumeRatio,0.238007357,0.042959954
mask1_T2_glrlm_LongRunEmphasis,0.237915309,0.043709056
mask1_T2_glcm_DifferenceVariance,0.237882488,0.044198327
